x,y
                                                                                                                                                #-)                                                                                                                                                ,eepartiedallnight
                                                                                                                                                %)                                                                                                                                                ,eedrunk
                                                                                                                                                %-)                                                                                                                                                ,eedrunk
"                                                                                                                                                ',:-l                                                                                                                                                ",eescepticism
"                                                                                                                                                ',:-|                                                                                                                                                ",eescepticism
                                                                                                                                                *)                                                                                                                                                ,eewink
                                                                                                                                                *-)                                                                                                                                                ,eewink
                                                                                                                                                *<|:-)                                                                                                                                                ,eesantaclaus
                                                                                                                                                *\0/*                                                                                                                                                ,eecheerleader
                                                                                                                                                0:)                                                                                                                                                ,eeangel
                                                                                                                                                0:-)                                                                                                                                                ,eeangel
                                                                                                                                                0:-3                                                                                                                                                ,eeangel
                                                                                                                                                0:3                                                                                                                                                ,eeangel
                                                                                                                                                0;^)                                                                                                                                                ,eeangel
 <3 ,eeheart
                                                                                                                                                3:)                                                                                                                                                ,eedevilish
                                                                                                                                                3:-)                                                                                                                                                ,eedevilish
                                                                                                                                                8)                                                                                                                                                ,eesmiley
                                                                                                                                                8-)                                                                                                                                                ,eesmiley
                                                                                                                                                8-0                                                                                                                                                ,eesurprise
                                                                                                                                                8-D                                                                                                                                                ,eelaughing
                                                                                                                                                8D                                                                                                                                                ,eelaughing
                                                                                                                                                :#                                                                                                                                                ,eesealedlips
                                                                                                                                                :###..                                                                                                                                                ,eebeingsick
                                                                                                                                                :$                                                                                                                                                ,eeembarrassed
                                                                                                                                                :&                                                                                                                                                ,eesealedlips
                                                                                                                                                :'(                                                                                                                                                ,eecrying
                                                                                                                                                :')                                                                                                                                                ,eetearsofhappiness
                                                                                                                                                :'-(                                                                                                                                                ,eecrying
                                                                                                                                                :'-)                                                                                                                                                ,eetearsofhappiness
                                                                                                                                                :(                                                                                                                                                ,eefrown
                                                                                                                                                :)                                                                                                                                                ,eesmiley
                                                                                                                                                :*                                                                                                                                                ,eekiss
                                                                                                                                                :-#                                                                                                                                                ,eesealedlips
                                                                                                                                                :-###..                                                                                                                                                ,eebeingsick
                                                                                                                                                :-&                                                                                                                                                ,eesealedlips
                                                                                                                                                :-(                                                                                                                                                ,eefrown
                                                                                                                                                :-)                                                                                                                                                ,eesmiley
                                                                                                                                                :-))                                                                                                                                                ,eeveryhappy
                                                                                                                                                :-*                                                                                                                                                ,eekiss
"                                                                                                                                                :-,                                                                                                                                                ",eewink
                                                                                                                                                :-.                                                                                                                                                ,eeskeptical
                                                                                                                                                :-/                                                                                                                                                ,eeskeptical
                                                                                                                                                :-0                                                                                                                                                ,eesurprise
                                                                                                                                                :-3                                                                                                                                                ,eesmiley
                                                                                                                                                :-<                                                                                                                                                ,eefrown
                                                                                                                                                :->                                                                                                                                                ,eesmiley
                                                                                                                                                :-D                                                                                                                                                ,eelaughing
                                                                                                                                                :-J                                                                                                                                                ,eetongue
                                                                                                                                                :-O                                                                                                                                                ,eesurprise
                                                                                                                                                :-P                                                                                                                                                ,eetonguestickingout
                                                                                                                                                :-X                                                                                                                                                ,eesealedlips
                                                                                                                                                :-[                                                                                                                                                ,eefrown
